0.0;0.1;0;[0.23629851639270782, 0.0, 0.9034276008605957];0.25171086
0.0;0.2;0;[0.26065489649772644, 0.0, 0.8886750340461731];0.43532068
0.0;0.3;0;[0.28355011343955994, 0.0, 0.8820785880088806];0.48890927
0.0;0.4;0;[0.3189082443714142, 0.0, 0.8700029850006104];0.5053103
0.0;0.5;0;[0.32671427726745605, 0.0, 0.8549222946166992];0.5806924
0.0;0.6;0;[0.3652442693710327, 0.0, 0.8445135354995728];0.6601656
0.0;0.7;0;[0.3613201975822449, 0.0, 0.8487046360969543];0.6971109
0.0;0.8;0;[0.3435016870498657, 0.0, 0.8406398296356201];0.6713074
0.0;0.9;0;[0.3936866819858551, 0.0, 0.840772807598114];0.7727805
0.05;0.1;0;[0.24107696115970612, 0.0, 0.8979434370994568];0.45985946
0.05;0.2;0;[0.25993967056274414, 0.0, 0.8904514908790588];0.46291423
0.05;0.3;0;[0.28155413269996643, 0.0, 0.8760825991630554];0.5262119
0.05;0.4;0;[0.3445172905921936, 0.0, 0.8549007773399353];0.47743562
0.05;0.5;0;[0.4263477325439453, 0.0, 0.8330866098403931];0.4857154
0.05;0.6;0;[0.31573498249053955, 0.0, 0.8636161684989929];0.5206669
0.05;0.7;0;[0.3333125412464142, 0.0, 0.8559585213661194];0.53225994
0.05;0.8;0;[0.32898032665252686, 0.0, 0.8601895570755005];0.5392777
0.05;0.9;0;[0.37894314527511597, 0.0, 0.8241172432899475];0.54183394
0.1;0.1;0;[0.2382681965827942, 0.0, 0.8976863622665405];0.4981384
0.1;0.2;0;[0.27724745869636536, 0.0, 0.8821613788604736];0.4987386
0.1;0.3;0;[0.31799423694610596, 0.0, 0.869642436504364];0.5178824
0.1;0.4;0;[0.3256177008152008, 0.0, 0.8646727800369263];0.5207351
0.1;0.5;0;[0.3896563947200775, 0.0, 0.8356772661209106];0.43446094
0.1;0.6;0;[0.31332671642303467, 0.0, 0.8582851886749268];0.5777895
0.1;0.7;0;[0.33658161759376526, 0.0, 0.8569948077201843];0.53389037
0.1;0.8;0;[0.39769628643989563, 0.0, 0.8270142078399658];0.5041303
0.1;0.9;0;[0.43281447887420654, 0.0, 0.8227847814559937];0.5489274
0.0;0.1;1;[0.24198411405086517, 0.0, 0.8965724110603333];0.31373858
0.0;0.2;1;[0.28939005732536316, 0.0, 0.8857142925262451];0.35806164
0.0;0.3;1;[0.2867323160171509, 0.0, 0.8720852732658386];0.44118696
0.0;0.4;1;[0.3085935413837433, 0.0, 0.868818461894989];0.5282549
